station_alias,year,PM10,PM25,SO2,NO2,NO,O3,BEN,CO,MXIL,TOL
Castilla,2003,48.41078838174274,NaN,15.456361966008268,44.22660212079299,28.68948824343015,41.729810453762205,NaN,0.4928205727644652,NaN,NaN
Castilla,2004,38.85129682997118,NaN,13.270335756317065,42.69833237492812,30.41575618171363,38.98131805157593,NaN,0.4431196730881494,NaN,NaN
Castilla,2005,38.38796063172351,NaN,11.264414206642066,36.00444337696649,25.69949555608936,40.902352672453176,NaN,0.3862585985775912,NaN,NaN
Castilla,2006,38.31688921859545,NaN,10.082184916061138,38.54860398146989,28.18020533366721,40.85134702915488,NaN,0.32563196793185517,NaN,NaN
Castilla,2007,32.96810829413789,NaN,11.509742880202928,33.6437256697962,22.32104419509961,41.18068428882023,NaN,0.31476974828906157,NaN,NaN
Castilla,2008,25.368821292775664,NaN,12.377296650717703,29.37026769779893,18.709732302201072,38.57976473384031,NaN,0.38830033396946567,NaN,NaN
Castilla,2009,26.818682579756715,NaN,7.200676993689042,34.46358733073215,18.624845076887766,42.60930872406282,NaN,0.2924813239857488,NaN,NaN
Castilla,2010,32.006717147044455,NaN,5.166122852552219,30.367704898009038,16.040283376084037,39.332315210751375,NaN,0.2785283666217375,NaN,NaN
Castilla,2011,24.288508274505265,NaN,4.8243370100915275,27.37506081315881,14.227719216958183,35.662906398241354,NaN,0.20697623188405798,NaN,NaN
Castilla,2012,22.01515852811849,NaN,4.1176912247771,19.245665007524018,9.980588031022108,36.45559925960204,NaN,0.2091670522906062,NaN,NaN
Castilla,2013,23.856783632415134,NaN,4.324120142152929,22.655017818140017,13.733521094378665,46.3545652422958,NaN,0.31441132637853947,NaN,NaN
Castilla,2014,25.507901969766376,NaN,3.5564238106182486,25.21289803425681,10.438786067364065,47.9283335247502,NaN,0.22037054138289278,NaN,NaN
Castilla,2015,25.1087741327892,NaN,4.343111249804962,26.655890238132788,15.708563318088629,38.710563270400996,NaN,0.2706256826337962,NaN,NaN
Castilla,2016,22.115506888025433,NaN,4.395831392640894,20.764199239017643,12.90982359045313,40.67052251832887,NaN,0.3272120373573158,NaN,NaN
Castilla,2017,23.389457761228766,NaN,6.071146616541354,19.8911404117511,9.882280823502198,43.657105821352815,NaN,0.33014564790197665,NaN,NaN
Constitución,2e3,47.559955588453,NaN,18.442298634008477,47.23195322753848,42.35002390057361,31.866748617086664,NaN,0.8757225093984963,NaN,NaN
Constitución,2001,50.352751924623696,NaN,18.678290993071595,47.010912014702505,38.7829083390765,41.15026503802719,NaN,0.6339336990778569,NaN,NaN
Constitución,2002,48.087296117620035,NaN,14.896065160032121,48.04921417919009,42.718366410462316,38.85171977453123,NaN,0.7151600644864118,NaN,NaN
Constitución,2003,49.599147858129896,NaN,14.38985590778098,45.13321819228555,34.72274035693725,42.08013816925734,NaN,0.6003368176538908,NaN,NaN
Constitución,2004,42.83671364730148,NaN,11.806068297185048,51.492302389705884,31.682329963235293,39.50257172248257,NaN,0.5515192063675164,NaN,NaN
Constitución,2005,37.57081891580162,NaN,14.532143273830359,45.387252646111364,28.0063276576162,39.83064887252646,NaN,0.5082181312955888,NaN,NaN
Constitución,2006,36.80270744547506,NaN,14.688740889670772,38.70616172978378,28.18735158105237,37.55534732633683,1.6510204081632653,0.49937042644461266,8.487755102040817,16.455102040816328
Constitución,2007,45.65609019060902,NaN,17.450346691738158,31.276971315758914,44.06840088259204,30.402089378990134,0.3287301218804411,0.39967707594038326,1.5459164248403947,2.3503493905977946
Constitución,2008,33.227742083524554,18.69924812030075,10.761268587360595,33.18932539228038,38.3978925667163,28.624184875872327,0.2413821557503868,0.5156977011494253,1.1358711186176433,1.7081265364212705
Constitución,2009,25.98623537508603,12.342457908601535,7.805211202938476,36.48473370064279,20.317305485425752,35.34609213843685,0.3744415167831367,0.4178027780966594,1.087352503150418,2.4476801466376448
Constitución,2010,27.810670061335493,11.95133510576812,5.5181180259979294,34.38247517894251,22.384277963753895,44.20319871131055,0.597859028814143,0.4908684149988498,1.005332338422684,4.318154058087476
Constitución,2011,27.971044706972435,12.800624855357556,5.1846935241833085,36.69592331678023,20.789929553066173,41.200484205672126,0.566094660760084,0.4970910769941129,2.29305217594759,3.281348956511601
Constitución,2012,26.374075378654457,11.150710677786915,6.140938015555032,35.39743438860774,18.75014711074497,34.93124332027075,0.41013336508692544,0.45994760033345244,0.6674365995951899,2.101988805525783
Constitución,2013,25.050664832645577,13.190716332378223,6.127936434822662,33.88766114180479,18.386575942797833,40.06397422621102,0.34524083227957236,0.5627995855876597,1.0018153598528396,2.080598113641592
Constitución,2014,25.695215256366335,14.665715264299578,5.24959871589085,26.53600091722082,14.129901398761751,42.87743636780555,0.34730257116620755,0.442614079339601,0.4821166207529844,1.1136295785968537
Constitución,2015,27.33106078114167,12.848375451263538,5.6590962031213605,24.17802454704851,17.302863822326124,33.46166394779772,0.7020358020358021,0.29291202414113277,1.093669985775249,1.629489580894404
Constitución,2016,21.01806004066499,10.435264663805436,5.325653947684185,23.73855349671249,16.931022115959355,31.995699952221692,0.7042150429076224,0.40903825398728866,1.5176438667339727,3.3872199065302513
Constitución,2017,20.68761467889908,10.704769548268745,5.22866659009992,31.582223242994946,16.255942128832242,36.4622641509434,0.5501149821777624,0.3697255082117836,2.109963205703116,3.3181188915718063
H. Felgueroso,2e3,70.30536793458941,NaN,20.73047563123899,44.02420790316839,39.79414196291484,28.31067044381492,NaN,0.8983593474944255,NaN,NaN
H. Felgueroso,2001,76.47043288552072,NaN,20.5139896373057,47.29599723151459,32.91475372015227,34.81700852731044,NaN,0.9941825487944891,NaN,NaN
H. Felgueroso,2002,52.641063334558375,NaN,18.28534641324341,48.51582045621781,38.58633799362276,36.18638871857756,NaN,0.9690699669158191,NaN,NaN
H. Felgueroso,2003,48.39843384759233,NaN,16.531502045587377,49.36108512628625,35.0384705332086,34.56837556930982,NaN,0.9262895076959229,NaN,NaN
H. Felgueroso,2004,34.90680303378534,NaN,16.798101412363973,47.3096940569687,30.308287422342048,33.176511067783004,NaN,0.7454249942568344,NaN,NaN
H. Felgueroso,2005,37.87114295620016,NaN,13.66111632270169,45.90981369407856,28.3689331909339,34.67077809798271,NaN,0.7014209919261822,NaN,NaN
H. Felgueroso,2006,37.6168019585105,NaN,11.670247609065898,43.03506199173444,27.261565124650048,40.33251833740831,NaN,0.5397979667996397,NaN,NaN
H. Felgueroso,2007,29.90253208463406,NaN,12.030526315789473,27.382691636617423,36.837617773641966,40.249509747375704,NaN,0.29234425473004155,NaN,NaN
H. Felgueroso,2008,27.60998278829604,NaN,7.851147693021099,35.887844036697246,25.87282110091743,29.336693779356168,NaN,0.3429000458505273,NaN,NaN
H. Felgueroso,2009,27.90250600755235,NaN,4.579338748426953,36.21235697940504,23.180549199084666,37.02706097282485,NaN,0.34246029025254254,NaN,NaN
H. Felgueroso,2010,30.549953639313863,NaN,4.351789644387814,37.09675550405562,25.617033603707995,37.110494683310215,NaN,0.30708844639962957,NaN,NaN
H. Felgueroso,2011,31.643079764515758,NaN,4.466134997688396,34.79965556831228,22.56568672485071,36.05636551486626,NaN,0.4262580275229358,NaN,NaN
H. Felgueroso,2012,22.08191166160318,NaN,7.182777843672162,36.50462042344134,19.824815811016254,37.26136230868092,NaN,0.38268209984800655,NaN,NaN
H. Felgueroso,2013,24.877011494252873,NaN,6.8519884726224785,34.340518731988475,18.831873703618346,40.55042695591968,NaN,0.4559435158501441,NaN,NaN
H. Felgueroso,2014,30.429181576820962,NaN,3.873209919664687,29.022745735174656,15.976557966809795,40.80378058680274,NaN,0.49946535796766744,NaN,NaN
H. Felgueroso,2015,24.036652203699475,NaN,5.8069511355815555,18.786074787795364,15.073526038082129,39.82345508844475,NaN,0.5969167240192704,NaN,NaN
H. Felgueroso,2016,20.303927281202657,NaN,4.6775345622119815,14.327797001153403,10.28569780853518,34.419647992637756,NaN,0.6632673495223846,NaN,NaN
H. Felgueroso,2017,24.20918484500574,NaN,5.72412204951065,29.924272068132122,17.12449660568404,34.45541254883935,NaN,0.5368581935187313,NaN,NaN
Montevil,2009,NaN,10.78542315991369,5.061474406073965,21.421469740634006,11.104226705091259,43.26721036219717,NaN,NaN,NaN,NaN
Montevil,2010,NaN,10.810935359322457,5.312355924389119,19.94639175257732,8.658304696449026,52.16317656482435,NaN,NaN,NaN,NaN
Montevil,2011,NaN,11.67733058135535,6.809173468214738,22.153607536764707,10.169960928522178,48.46525783852073,NaN,NaN,NaN,NaN
Montevil,2012,NaN,9.435990888382689,6.839579524680073,25.982326111744584,9.944400045667313,50.86881131644992,NaN,NaN,NaN,NaN
Montevil,2013,NaN,9.217401233158256,7.54579803068468,23.2323879231473,9.54024041213509,54.87245248454317,NaN,NaN,NaN,NaN
Montevil,2014,NaN,9.735441881708153,8.750114626318203,20.32481375358166,8.553301237964236,54.5900699461071,NaN,NaN,NaN,NaN
Montevil,2015,NaN,10.798308764712605,8.5882014056919,16.9359752605658,12.773565456419654,45.979040201580574,NaN,NaN,NaN,NaN
Montevil,2016,NaN,10.475874685570547,5.164071444927868,9.776162125028623,11.023700480879322,45.46496450652622,NaN,NaN,NaN,NaN
Montevil,2017,NaN,10.853861248989958,6.96133871898442,17.69671090594345,11.073167916907098,46.81502423263328,NaN,NaN,NaN,NaN
Santa Bárbara,2016,20.180078849721706,10.069549090066072,NaN,19.270545539686257,11.914071645984547,NaN,NaN,0.3278336827393431,NaN,NaN
Santa Bárbara,2017,24.013621794871796,11.404764631771847,NaN,21.657272094641616,15.130828114126652,NaN,NaN,0.45628703170028817,NaN,NaN
